,Keyword,Count
,"compatibility (of languages, platforms, libraries)",20
,documentation,19
,dependencies,9
,availability,8
,installation,7
,lack of information,7
,reusability,7
,technology heterogeneity,7
,bugs,4
,communication with developers,4
,exchange formats,4
,outdated technology,4
,IP,3
,"availability (of tools, platforms, libraries)",3
,maintenance,3
,usability,3
,artifact discovery,2
,completeness,2
,effort,2
,knowledge discrepancies,2
,lack of realistic models,2
,reproducibility,2
,standardisation,2
,structure,2
,closed source tools,1
,examples,1
,hosting,1
,maturity,1
,quality,1
,restrictions,1
,versioning,1
